"y","x","t"
-0.6558302,30,0
-0.5729772,39,1
-0.3520359,-28,0
-0.1863299,7,1
0.4212587,85,0
-0.1034769,21,0
-1.042477,-91,1
1.664054,69,0
-0.4901242,15,0
-0.0482416,61,0
-0.1034769,45,0
0.310788,36,0
-0.1034769,48,0
-0.9596245,7,0
0.227935,42,0
-0.2691829,33,0
-0.2691829,30,0
0.227935,45,0
-0.5453596,-19,1
0.310788,54,0
0.9183766,79,0
0.9183766,74,0
-0.9596245,-28,0
-1.622448,-91,1
0.9183766,74,1
-2.78239,-2,0
-1.208183,33,0
-1.401507,-143,1
0.5317293,65,0
-1.042477,-39,1
-0.0482416,21,1
-0.2691829,27,0
-1.871007,-55,1
0.9183766,74,0
-0.5729772,27,0
0.227935,45,0
-0.7939185,24,0
-0.8767715,21,0
-0.4072712,45,0
0.227935,48,0
-2.78239,-91,1
0.1174644,36,0
-0.1863299,33,0
0.310788,27,0
-0.6558302,15,0
1.332642,45,0
-1.291036,-91,0
-0.4901242,18,0
0.0346114,33,0
0.1174644,39,0
0.6422,79,0
-0.1034769,21,0
0.1174644,39,1
-0.7110655,11,0
0.310788,51,0
-0.5729772,-7,1
0.6422,69,0
-0.0482416,33,0
0.6422,51,0
1.332642,74,0
-0.5729772,-7,1
-1.291036,-39,0
-0.1863299,51,0
-0.5729772,21,0
0.5317293,-19,1
-0.5729772,36,0
-1.208183,7,0
-0.0482416,48,0
1.1117,69,0
0.9183766,93,0
-0.2691829,45,0
-1.12533,18,1
-1.401507,24,0
0.9183766,54,0
0.1174644,30,0
0.4212587,69,0
-0.1034769,24,0
-0.1034769,36,0
-1.511978,-2,0
1.1117,79,0
0.9183766,79,0
-0.7110655,24,0
0.1174644,65,1
0.310788,57,0
-0.3520359,15,0
-0.4072712,39,0
-0.9320068,-28,1
1.1117,79,0
-0.0482416,27,0
-0.2691829,11,0
0.1174644,24,0
-1.291036,-19,0
-0.8767715,-2,0
1.1117,57,0
0.5317293,48,0
-1.622448,-7,0
-0.8767715,33,1
0.1174644,51,0
-0.1863299,42,0
0.5317293,21,0
0.5317293,57,0
-1.042477,21,0
