"y","x","t"
-0.7369268,-4,0
0.0200657,33,0
0.1462311,-8,1
-0.4215132,-8,0
1.071444,57,0
0.6088377,36,0
0.4406171,9,1
1.28172,45,0
0.2934241,-4,1
-2.461187,-32,0
-0.484596,24,0
-0.2953478,36,0
0.6088377,42,0
0.3565068,36,0
-0.043017,-1,0
-0.7158992,15,0
-0.484596,-4,0
0.3565068,52,0
1.071444,42,0
0.9242512,42,0
-0.7158992,-70,1
0.1462311,9,0
-1.641112,-11,0
1.28172,76,0
-0.1691824,30,0
-0.9892576,-37,0
-0.8000095,21,0
2.14385,57,0
0.2934241,30,0
0.4406171,27,0
0.0200657,18,0
1.28172,57,0
0.2303414,27,0
0.3565068,45,0
-0.484596,-1,1
0.0831484,39,0
-0.4215132,18,1
-0.1691824,-1,1
1.576106,90,0
0.1462311,12,0
-0.1060997,33,0
0.9242512,49,0
0.5247274,39,0
0.4406171,18,0
0.2303414,24,0
0.2303414,39,0
0.9242512,52,0
-0.8841197,-43,1
-0.7158992,-70,0
0.4406171,15,0
0.1462311,21,0
0.6088377,62,0
-0.2953478,-1,1
0.4406171,45,0
-1.199533,15,0
-0.043017,-1,0
-3.070987,-19,0
0.4406171,42,0
0.6929479,36,0
1.576106,62,0
1.28172,90,0
-1.641112,-37,0
0.1462311,49,0
-0.1060997,39,0
1.28172,68,0
-1.472892,-43,1
0.6929479,12,0
-0.1691824,12,0
1.071444,45,0
-0.1691824,30,0
-0.8000095,2,1
-0.5687062,12,0
-0.3584305,-1,0
0.5247274,24,0
-0.2953478,2,0
0.2303414,18,0
0.1462311,45,0
0.6088377,24,0
1.071444,57,0
0.1462311,27,0
0.3565068,33,0
-0.8630922,-15,1
-1.094395,-4,1
-0.8841197,-15,0
0.1462311,21,0
0.0831484,2,0
0.9242512,57,0
-2.461187,-59,0
0.5247274,12,0
2.14385,33,0
-0.1060997,-8,1
0.6088377,57,0
-0.1691824,15,0
-0.3584305,18,0
-0.5897338,-70,1
-0.3584305,-11,1
0.0200657,9,1
0.4406171,9,1
-0.1691824,2,1
-1.094395,-27,0
0.6929479,49,0
1.071444,68,0
-0.7158992,-43,1
-0.2322651,12,1
0.1462311,24,0
-0.8841197,-15,0
-0.7158992,2,0
-0.2953478,12,0
0.5247274,15,0
0.4406171,39,0
0.7980857,36,0
-0.9892576,12,0
-0.2322651,33,1
2.14385,68,0
3.216256,168,0
-0.1060997,-84,0
0.1462311,21,0
-0.484596,-11,1
-0.3584305,24,0
-0.2953478,39,0
0.7980857,36,0
-1.472892,-19,1
0.1462311,-15,1
0.0831484,15,0
1.28172,30,0
0.2934241,36,0
-0.2953478,45,0
-0.2322651,27,0
-1.851388,-19,0
1.576106,52,0
-0.484596,-8,1
-0.1060997,24,0
-1.094395,9,0
0.3565068,42,0
0.2303414,21,1
-0.3584305,-1,1
0.0200657,12,0
-1.094395,-19,0
0.9242512,57,0
-1.094395,6,0
-1.325699,-32,1
-0.043017,12,1
-0.3584305,2,1
-1.472892,-43,0
0.7980857,52,0
-0.6317889,-11,1
-1.851388,-15,0
0.6088377,57,0
0.6088377,27,0
-0.4215132,-4,1
-0.8841197,-19,1
0.3565068,57,0
-1.472892,-23,0
-0.484596,12,0
-0.043017,-1,0
-0.8841197,-8,1
0.5247274,12,0
-0.8000095,-32,1
0.4406171,6,0
0.2303414,45,0
-0.043017,45,1
-0.7158992,-19,1
0.2934241,-32,1
1.28172,39,0
1.071444,52,0
-0.2953478,-1,1
0.1462311,36,0
0.2934241,-1,0
-0.1060997,-4,1
-1.851388,-43,0
0.4406171,24,0
-0.1060997,-1,0
0.1462311,18,1
-0.4215132,12,0
-0.2322651,12,0
0.9242512,33,0
-0.1060997,21,0
-0.043017,42,0
0.5247274,30,0
0.0831484,2,0
-0.2322651,9,0
1.071444,52,0
0.0200657,24,0
-0.4215132,-23,1
0.1462311,-4,1
0.7980857,-1,1
-3.9962,2,0
-1.094395,-27,0
0.5247274,62,0
-0.484596,-8,1
1.071444,39,0
-0.4215132,-4,0
-0.9892576,2,0
-0.1060997,-8,0
2.14385,62,0
-1.094395,-23,0
-0.5687062,-11,1
0.4406171,30,0
1.576106,168,0
-0.2322651,-1,1
0.9242512,33,0
0.1462311,-11,1
-0.5687062,6,0
3.216256,90,0
-0.1060997,9,0
0.5247274,12,0
-1.094395,-1,0
-0.5687062,-32,1
-0.6317889,27,0
-1.641112,-43,0
0.2934241,33,0
0.0200657,-8,1
0.2303414,30,0
0.0831484,45,0
0.4406171,27,0
-0.484596,12,0
-1.199533,-23,0
-1.199533,-23,1
-0.3584305,2,0
-0.7369268,-59,1
-0.1060997,-8,0
0.5247274,52,0
0.7980857,36,0
-0.4215132,27,0
0.6929479,36,0
-0.1060997,6,0
0.5247274,27,1
-0.484596,-1,1
