"y","x","t"
0.5317293,33,0
0.227935,39,0
-0.9596245,-1,1
0.9183766,21,0
1.332642,42,0
-1.042477,18,0
1.1117,54,0
0.4212587,18,0
0.4212587,39,0
-0.2968006,-37,1
-0.7110655,-37,1
-0.7939185,-11,0
-0.8767715,-32,0
-1.732919,-15,0
-0.0482416,-4,0
-0.2691829,18,0
-0.3520359,9,0
0.1174644,36,0
-0.1863299,24,0
-0.6558302,6,0
0.4212587,6,0
0.7802883,42,0
-0.0482416,-19,1
-0.3520359,33,0
-0.0482416,33,0
-1.511978,-143,1
-0.2691829,2,0
-0.8767715,-8,0
0.7802883,68,0
0.6422,39,0
1.1117,30,0
0.227935,52,0
-0.5729772,15,0
-0.5729772,-15,1
1.1117,24,0
-1.042477,-15,0
1.664054,68,0
-0.1863299,18,1
1.332642,49,0
0.5317293,24,0
-0.4072712,-37,0
-0.7939185,-8,0
-0.1863299,-11,1
-0.4901242,-15,0
-0.2968006,-19,1
-0.0482416,33,1
1.332642,65,0
-0.7110655,15,0
-0.7939185,36,0
0.227935,-15,0
-0.9596245,-1,0
-0.1863299,42,0
1.664054,36,0
0.227935,45,0
-0.0482416,9,0
-0.4901242,3,0
-1.208183,-23,1
0.1174644,21,0
-1.401507,-19,0
-0.5729772,-32,0
-0.7110655,18,0
0.1174644,48,0
0.1174644,21,0
0.4212587,30,0
-1.208183,-43,1
-0.7939185,-199,0
-0.0482416,-2,1
1.332642,42,0
0.1174644,18,0
1.332642,15,0
-0.4901242,15,0
0.1174644,-27,0
-1.042477,6,0
-0.6558302,24,0
0.6422,2,0
-0.0482416,3,0
0.9183766,57,0
-0.3520359,12,0
1.1117,18,1
0.4212587,62,0
0.0346114,-32,0
0.6422,49,0
-0.6282125,-50,1
-0.3520359,2,0
0.227935,42,0
0.4212587,-4,1
4.011555,57,0
-0.7939185,-27,0
0.1174644,51,0
-0.1034769,2,0
-0.0482416,-11,0
-0.1863299,52,0
-0.2691829,6,0
-0.8767715,24,0
0.227935,57,0
-0.4901242,9,0
-0.3520359,11,0
0.0346114,21,0
1.1117,57,0
-0.0482416,-23,1
0.4212587,51,0
-0.6558302,2,0
0.0346114,30,0
-0.6558302,6,0
-1.732919,-152,1
-1.208183,-19,0
0.5317293,33,0
1.1117,49,0
0.310788,30,0
-0.4072712,21,0
-0.8767715,-13,0
1.332642,69,0
-0.4901242,-32,1
0.227935,39,0
0.1174644,-19,1
0.310788,27,0
0.7802883,76,0
0.6422,33,0
0.1174644,39,0
-0.1863299,24,0
0.227935,9,0
-0.0482416,-15,1
-0.1034769,39,0
2.244025,52,0
0.4212587,2,0
1.664054,68,0
0.1174644,49,0
0.6422,36,0
-0.7663009,-1,1
-0.2691829,15,0
0.227935,36,0
0.227935,42,0
-1.732919,11,0
-0.4901242,2,0
0.310788,18,0
-0.1034769,-23,1
-0.1034769,-11,1
-1.401507,-23,1
-0.0482416,-8,1
-0.2691829,-4,1
-0.0482416,15,0
-0.3520359,15,0
-0.4072712,30,0
-1.318654,-199,0
-0.0482416,21,0
-1.208183,11,0
0.9183766,36,0
-1.291036,-32,1
-0.9596245,11,0
0.227935,15,0
0.1174644,33,0
-0.6558302,-105,0
0.6422,45,0
-0.4901242,21,0
0.310788,39,0
0.227935,-1,1
-0.7939185,-59,1
-0.1863299,-27,1
-0.1034769,-32,0
0.310788,12,0
1.664054,49,0
0.0346114,33,0
0.4212587,-1,0
0.6422,39,0
-0.8767715,-8,1
-0.1863299,15,0
0.310788,12,0
-0.7110655,2,0
-0.4901242,2,0
0.9183766,52,0
0.6422,45,0
-0.6558302,3,0
-0.3520359,12,0
0.6422,33,0
-0.3520359,-23,1
-0.3520359,-2,1
0.0346114,21,0
1.1117,36,0
0.7802883,2,0
0.310788,-11,1
0.227935,6,0
0.9183766,-1,0
4.011555,49,0
0.4212587,42,0
0.227935,24,0
-0.7939185,3,0
0.7802883,39,0
-0.7110655,-37,0
-0.7110655,-152,0
0.4212587,24,0
-0.2691829,24,0
-0.1034769,11,0
-0.1863299,7,0
-0.4072712,6,0
-0.7939185,-4,0
-0.7110655,24,0
0.2003174,15,1
-1.622448,-59,0
-0.0482416,9,0
1.1117,54,0
-0.4901242,-8,1
-0.3520359,57,0
1.332642,45,0
0.310788,6,0
1.332642,54,0
1.664054,76,0
-0.8767715,-23,1
2.244025,52,0
1.332642,62,0
-0.4072712,15,0
-0.1863299,-19,0
0.9183766,42,0
0.6422,48,0
0.9183766,18,0
-0.9596245,-2,1
-0.9596245,2,0
-0.1863299,15,0
-0.4072712,12,0
-0.2415652,-32,1
0.1174644,15,0
0.6422,30,0
0.7802883,49,1
0.227935,15,0
-0.9596245,-2,1
0.6422,18,0
0.6422,30,0
0.7802883,30,0
-0.7939185,27,0
0.5317293,45,0
2.244025,42,0
-0.2691829,-1,1
-0.3520359,2,0
0.7802883,30,0
-0.0206239,-19,1
-0.1034769,30,0
0.6422,27,0
1.1117,24,0
0.4212587,36,0
2.244025,57,0
0.6422,52,0
4.011555,57,0
0.7802883,-1,1
0.310788,-11,1
0.227935,15,1
0.1174644,-1,1
-0.0482416,48,0
-0.9596245,2,0
0.5317293,45,0
-0.7110655,-19,1
0.4212587,-43,0
0.6422,39,0
-0.9596245,-15,1
0.4212587,-27,1
-1.622448,-152,0
0.6422,12,0
-0.3520359,7,0
-1.871007,-19,0
-0.1863299,-4,1
-2.230037,-23,1
-0.6558302,2,0
-0.5729772,-23,0
0.0346114,30,0
-0.0482416,24,0
0.5317293,42,0
-0.1034769,2,1
-0.1863299,36,0
0.227935,45,0
-0.7110655,18,0
-0.3520359,18,0
0.7802883,33,0
-0.7939185,30,0
-1.291036,-2,1
-1.208183,-50,1
-0.4072712,-15,0
2.244025,27,0
-0.5729772,-1,1
-0.3520359,27,0
-0.5729772,12,0
0.0346114,15,1
0.227935,27,0
0.310788,45,0
0.9183766,62,0
-0.1863299,15,0
-0.5453596,-7,1
0.9183766,18,0
0.227935,11,0
0.227935,-11,0
-0.4072712,12,0
0.4212587,36,0
-0.1863299,15,0
0.9183766,52,0
2.244025,62,0
0.9183766,36,0
-0.9596245,-199,0
0.9183766,42,0
-0.6558302,-55,0
-2.78239,-37,0
-0.9596245,-8,1
-0.5729772,-1,1
0.5317293,39,0
0.6422,27,0
1.332642,49,0
0.9183766,30,0
0.9183766,18,0
0.310788,39,0
2.244025,76,0
1.664054,68,0
-0.7110655,-7,0
-0.7110655,-4,0
0.6422,42,0
0.6422,24,0
0.9183766,49,0
0.9183766,48,0
1.1117,27,0
-0.6558302,-32,1
0.5317293,52,0
-0.6558302,6,0
-0.7110655,-2,0
-0.7110655,-4,1
0.5317293,-27,1
-0.4072712,-11,1
1.1117,51,0
-0.1863299,2,0
-0.9320068,-27,1
-0.8767715,-28,0
-0.0482416,11,0
-1.622448,-8,1
-0.7110655,-13,0
-0.5729772,-37,0
-0.1034769,18,0
0.1174644,33,0
0.9183766,15,0
0.9183766,52,0
-0.3520359,18,0
-0.1863299,18,0
-0.0482416,30,0
0.7802883,-32,0
0.9183766,30,0
1.332642,62,0
-0.0482416,21,0
-0.7110655,-91,1
-0.1863299,9,0
1.664054,49,0
-2.036713,-43,0
-0.7939185,27,0
0.1174644,18,0
-1.732919,-199,0
0.4488764,-43,1
0.310788,18,0
-0.2415652,-4,0
-0.1863299,15,0
-0.0482416,-8,1
0.0346114,-8,0
1.1117,57,0
0.7802883,36,0
0.0346114,9,1
1.664054,45,0
-0.0482416,-4,1
-0.9596245,-32,0
-0.4072712,11,0
0.0346114,36,0
0.227935,42,0
2.244025,36,0
0.5317293,-1,0
-0.6558302,15,0
-0.1863299,-4,0
1.1117,52,0
2.244025,42,0
0.227935,39,0
-0.4072712,-70,1
-1.511978,9,0
-0.3520359,-11,0
1.664054,61,0
-0.0482416,30,0
-1.871007,-37,0
-0.5729772,21,0
1.332642,57,0
-0.7110655,-7,0
0.7802883,27,0
-0.2691829,18,0
0.5317293,39,0
-0.0482416,27,0
0.9183766,45,0
-0.7110655,-1,1
-0.2691829,27,0
-0.7110655,-7,1
0.0346114,-1,1
1.1117,90,0
0.227935,12,0
