"z1","z2","x","y"
4.5,5,1.75,-0.0202
2.9,3,0.15,-1.0933
4.2,3.6,0.85,0.1862
2.5,0.9,-1.85,-1.1236
3.5,2.8,0.0499999999999998,-0.462
3.6,4.3,0.85,-0.7803
1.8,1.3,-1.45,-2.3511
6.5,5.1,2.35,0.8721
2.7,1.3,-1.45,-0.9591
1.8,1.1,-1.65,-2.3945
3.4,3,0.25,-0.9145
2.1,2.2,-0.65,-2.546
3.5,3.1,0.35,-0.5998
3.7,2.6,-0.15,0.5388
3.5,2.2,-0.55,-0.3211
2.4,2.2,-0.55,-2.1114
3.1,2.2,-0.55,-0.9591
3.1,3,0.25,-1.4115
2.5,2.4,-0.35,-1.3653
3.4,3,0.25,-1.458
2.6,0.4,-2.35,-1.458
3.6,2.2,-0.55,-0.5541
3.5,2.4,-0.35,-1.3653
3.1,3.5,0.35,-1.6484
2.9,3.2,0.15,-1.3194
3.6,3.1,0.35,-0.9591
2.9,2.4,-0.35,-0.7354
2.6,2.2,-0.55,-1.6
4.1,2.6,-0.15,-0.6452
2.4,1.1,-1.65,-1.4115
3.1,1.3,-1.45,-1.0485
3.5,4.1,0.75,-1.1382
3.6,3,0.25,-0.7354
3.2,3,0.25,-0.7164
4.2,2.4,-0.35,0.2983
3,3.1,0.25,-2.1154
2.8,3,0.0499999999999998,-1.3653
3.3,1.3,-1.45,-0.5082
4.7,3.7,0.95,-0.8251
3.4,3,0.25,-0.225
2.2,2,-0.75,-1.3653
2.5,2.7,-0.25,-1.5049
3.3,2.2,-0.55,-0.462
4,3.4,0.65,-0.462
3.1,1.1,-1.65,-0.8293
2.7,2.4,-0.35,-1.1382
2.9,3,0.15,-1.6
3.9,1.6,-1.15,-0.2996
3.1,2.8,0.0499999999999998,-0.5681
2.7,3,-0.0499999999999998,-0.9145
3.3,2.4,-0.35,-1.458
2.1,2.8,-0.65,-3.5237
4.1,4,1.25,-0.0256
3.2,1.8,-0.95,-1.0038
4.4,3,0.25,-0.5082
2.9,2.6,-0.15,-1.7597
3.6,2.4,-0.35,-0.3211
3.7,2,-0.75,-0.3211
2.8,2,-0.75,-0.9591
2.4,2.2,-0.55,-1.4115
4.5,2.6,-0.15,0.2417
2,2,-0.75,-2.2231
3.5,2.6,-0.15,-0.8251
4.8,3.5,0.75,0.2983
2.8,2.4,-0.35,0.6008
3.5,2.7,-0.0499999999999998,-0.7354
3,2.6,-0.15,-1.1832
3.4,3.1,0.35,-1.3653
2.7,2,-0.75,-0.462
4.1,3.1,0.35,0.1319
2.5,2.2,-0.55,0.3826
3.2,3.6,0.45,-1.5049
4,5,1.25,-0.6452
2.7,1.1,-1.65,-1.1236
3.5,2.6,-0.15,-1.0081
3.6,2.7,-0.0499999999999998,-1.5523
2.9,3.2,0.15,-1.1382
2.8,2.2,-0.55,-1.3653
2.9,1.3,-1.45,-0.7678
3.3,2.6,-0.15,-0.8251
3.2,2.6,-0.15,-0.8251
3.9,2.7,-0.0499999999999998,0.4763
2.8,2.7,-0.0499999999999998,-0.9591
1.9,1.3,-1.45,-2.2796
3.4,3.1,0.35,-0.4154
2.9,0.6,-2.15,-1.2284
