"","y","x"
"5793",-21.807343,30.318499
"5794",-12.784791,13.40206
"5795",-13.850164,15.300867
"5797",8.0739288,-9.2151699
"5798",4.5273633,-3.1098871
"5800",2.834481,-7.2867842
"5805",16.062132,1.9596815
"5807",54.938519,100
"5814",-3.0163856,3.3828497
"5818",13.232147,21.628689
"5823",-20.832523,-21.280727
"5824",-6.6500721,40.112831
"5827",-8.6362953,25.675907
"5841",1.8795609,6.5829368
"5842",-26.756844,9.6585989
"5843",-4.755342,3.4725428
"5847",16.926933,-0.56613684
"5848",-20.985661,-5.7580352
"5851",-10.584,-9.0967541
"5856",9.249383,-18.431723
"5859",3.8356721,25.475288
"5862",-2.5273323,54.735435
"5866",5.2781076,25.249502
"5868",-11.623419,0.7489711
"5875",-4.2627153,27.265274
"5876",6.3363643,-1.664868
"5877",-44.669239,-43.629536
"5878",25.062531,40.292194
"5880",16.98439,49.988483
"5881",-9.061182,-9.7357035
"5882",6.1049848,9.2573757
"5891",-5.6739388,-10.002592
"5897",-12.097955,-0.46193004
"5898",10.084537,-14.218381
"5900",12.18031,74.312302
"5902",1.9210815,22.548893
"5903",-10.375524,0.27502477
"5904",-53.104664,-11.287827
"5912",-28.082335,18.149775
"5916",-21.780413,18.4205
"5919",-16.069698,20.649151
"5922",-5.4848104,4.6460509
"5929",-52.795254,-24.460905
"5930",7.7247677,-16.165144
"5932",73.14576,52.173912
"5933",9.539917,8.6290751
"5934",7.124588,-8.8723269
"5938",38.772079,30.964676
"5945",1.6103774,39.002186
"5947",-4.533103,1.8485785
"5948",-3.1999202,-34.707714
"5950",-20.036503,-11.708739
"5951",-6.3088417,-4.1474671
"5952",-19.928175,30.409494
"5953",41.840553,18.754848
"5962",-5.8526874,-1.794529
"5965",-5.0264063,-36.818504
"5975",-91.229607,8.4686193
"5976",21.497171,-4.7005534
"5980",3.9229541,14.488506
"5982",-9.850812,13.545242
"5990",-51.848984,-15.379706
"5993",10.951239,30.366711
"5996",3.6144614,25.407087
"5999",-34.57645,-16.039789
"6002",40.346821,25.558182
"6004",3.6657243,100
"6013",15.519402,39.634083
"6015",11.045083,24.161398
"6016",4.3270407,0.33401251
"6017",-15.474287,-4.2840719
"6025",-0.007659197,25.643742
"6028",-1.8194884,49.858223
"6030",8.2428608,-3.7683697
"6031",-2.2097588,-14.269209
"6033",32.45879,43.15572
"6034",-7.6392651,-8.2992668
"6035",-9.8026514,8.0132751
"6038",5.5319638,-25.355911
"6039",50.130238,14.782253
"6041",6.8325281,8.9376059
"6042",7.7898531,6.1218114
"6046",-5.5780292,14.049771
"6048",11.450735,17.060434
"6049",39.683434,7.5412183
"6050",23.595503,33.530281
"6052",-18.448496,12.107677
"6054",-12.5,4.748404
"6057",16.547298,7.5653343
"6061",-6.8897963,50.310028
"6063",-4.7783375,7.0516796
"6066",-5.284512,-7.2914691
"6068",-1.5941143,8.0869703
"6070",-10.954881,23.153349
"6072",9.2648182,-4.605618
"6074",17.640045,19.262577
"6075",3.8118272,-5.0993204
"6076",-9.9082413,23.454103
"6080",12.723005,-12.488354
"6081",-8.4129868,24.330839
"6087",14.912438,23.037729
"6091",20.274961,39.847374
"6095",7.8336182,19.321978
"6099",-28.906559,3.7904978
"6101",5.7876348,9.7212162
"6103",1.9509256,1.6952276
"6104",-4.1842194,43.095222
"6106",13.548077,46.004791
"6107",-5.4939747,1.0542184
"6108",-0.27680099,-3.5125256
"6110",-11.45384,9.0520945
"6114",6.0423522,10.552422
"6115",7.3979883,4.2779951
"6118",-3.7656903,-28.958485
"6119",17.401192,37.278294
"6121",8.5213575,-3.2380342
"6122",-15.499004,2.8995156
"6125",26.57361,100
"6126",-11.933321,-15.390226
"6131",-6.3476143,21.326864
"6134",-0.31709075,7.9558315
"6135",-4.5626163,0.54769814
"6136",-4.2369576,12.033296
"6137",-7.8627825,-12.508345
"6138",12.016546,31.582842
"6139",31.067217,30.127251
"6143",-17.914299,23.815212
"6144",-12.642532,-29.151703
"6145",8.0701084,20.090652
"6146",15.201176,34.680523
"6147",-7.1383476,29.447655
"6154",2.3162127,18.63471
"6157",9.6791115,15.239784
"6160",2.1110535,7.2634192
"6162",0.52833557,-6.1218591
"6165",8.8413773,-7.1686149
"6174",-2.6672482,55.35667
"6178",-1.7746419,-4.6145916
"6180",34.135803,23.03257
"6189",-22.07266,5.472785
"6193",-1.2465984,-1.1050433
"6194",-8.0827389,-4.4904737
"6196",-14.780966,31.65419
"6214",-26.747379,24.058804
"6217",13.137412,-24.676985
"6219",5.7820263,13.161013
"6223",-20.256891,22.325563
"6224",-38.041916,-53.769897
"6241",14.610106,-5.0554185
"6245",-10.946119,3.1799464
"6250",43.210403,75.343895
"6253",-17.029549,-41.723728
"6258",-2.2342057,55.116116
"6259",11.646375,32.168068
"6260",-31.049681,9.7239857
"6262",0.99228323,-11.635056
"6263",-5.046001,31.779226
"6267",-17.609253,1.1779308
"6271",-21.99086,49.373981
"6272",-6.5271974,-1.6840905
"6275",22.942642,0.96021891
"6282",19.846245,-5.3571434
"6290",-21.287636,-38.469322
"6291",1.8298239,1.2931854
"6305",37.572384,45.512817
"6307",6.7114115,-5.3326278
"6308",-6.3431263,-2.3567228
"6311",-1.1338592,31.424894
"6319",5.9866934,-6.1050358
"6320",-21.164104,0.13559163
"6322",0.73400736,11.23533
"6326",13.617218,7.8423381
"6328",0.36703944,-20.119608
"6329",4.4616194,-12.063712
"6330",-19.238811,15.641764
"6333",-15.532121,-25.263157
"6335",8.1057281,32.716652
"6339",-11.693057,5.062005
"6340",4.6657352,-6.7232847
"6342",-33.467579,-24.609842
"6343",-17.527533,-26.780918
"6347",48.300243,36.793522
"6350",-31.576759,-16.793545
"6356",-11.32783,-34.237995
"6358",21.350883,-3.3775091
"6359",-9.0349083,-2.3991287
"6362",7.1241231,-2.91574
"6363",15.581715,-1.6996324
"6366",-27.959272,1.6337872
"6367",1.9389868,-13.567841
"6370",4.6725931,-16.973253
"6371",2.4074078,-36.161137
"6372",-4.3956666,-15.634611
"6374",-54.12212,22.159958
"6375",2.0705729,-3.9509983
"6380",32.361542,-7.0511909
"6383",-6.265563,7.2893052
"6384",-15.780306,8.5143356
"6385",-12.824547,3.35145
"6397",-7.6982288,22.930645
"6401",-27.762356,-75.55249
"6403",9.7705841,-13.683304
"6407",-1.7857164,26.544241
"6409",-4.2032452,-18.680233
"6411",19.361855,-3.7376614
"6417",11.34893,-32.720913
"6422",-14.604315,-6.9704175
"6423",19.350058,7.6147375
"6424",-5.5141597,-7.8498273
"6425",-8.1078081,12.002826
"6429",-29.244888,-4.1355042
"6433",-6.3578129,0.047102571
"6435",-5.4407268,3.0824571
"6436",15.54223,38.40134
"6437",-6.9951353,-33.525909
"6441",-11.443988,45.562477
"6442",-5.9910059,-16.122829
"6444",5.3289595,-22.086229
"6445",9.4356747,28.244511
"6447",20.410786,-6.120944
"6449",-0.078094006,25.176863
"6450",-7.805687,9.4834919
"6451",33.763538,-14.061957
"6460",2.953589,-6.9711657
"6461",14.101592,38.243629
"6463",-0.20201802,1.6140848
"6469",-35.961281,-42.40979
"6471",3.6052613,7.312253
"6473",-25.70281,4.2016835
"6475",-4.2553186,-20.993746
"6478",7.2874517,18.829008
